SATELLITE;BAND;WAVELENGTH;RSR;stdev
Landsat 8;6;1695;0.000112;0.000621
Landsat 8;6;1696;0.00004;0.000626
Landsat 8;6;1697;-0.000031;0.000619
Landsat 8;7;2037;-0.00001;-0.000065
Landsat 8;7;2038;0.000037;0.000108
Landsat 8;7;2039;0.000083;0.000281
Landsat 8;7;2040;0.000131;0.000363
Landsat 8;7;2041;0.000179;0.000389
Landsat 8;7;2042;0.00024;0.000421
Landsat 8;7;2043;0.000305;0.000457
Landsat 8;7;2044;0.000368;0.000469
Landsat 8;7;2045;0.00043;0.000465
Landsat 8;7;2046;0.000512;0.00047
Landsat 8;7;2047;0.000599;0.00048
Landsat 8;7;2048;0.000704;0.00049
Landsat 8;7;2049;0.000814;0.000498
Landsat 8;7;2050;0.000947;0.00049
Landsat 8;7;2051;0.001085;0.00047
Landsat 8;7;2052;0.001222;0.000466
Landsat 8;7;2053;0.00136;0.00047
Landsat 8;7;2054;0.001546;0.000478
Landsat 8;7;2055;0.001745;0.000488
Landsat 8;7;2056;0.001964;0.000518
Landsat 8;7;2057;0.002187;0.000561
Landsat 8;7;2058;0.002439;0.000589
Landsat 8;7;2059;0.002696;0.00061
Landsat 8;7;2060;0.00301;0.000632
Landsat 8;7;2061;0.003339;0.000653
Landsat 8;7;2062;0.003733;0.000698
Landsat 8;7;2063;0.004141;0.000755
Landsat 8;7;2064;0.004627;0.000816
Landsat 8;7;2065;0.005137;0.000881
Landsat 8;7;2066;0.005728;0.00095
Landsat 8;7;2067;0.006337;0.001022
Landsat 8;7;2068;0.007139;0.001106
Landsat 8;7;2069;0.007996;0.001198
Landsat 8;7;2070;0.008903;0.001305
Landsat 8;7;2071;0.009824;0.00142
Landsat 8;7;2072;0.011005;0.001563
Landsat 8;7;2073;0.012261;0.001723
Landsat 8;7;2074;0.01361;0.001906
Landsat 8;7;2075;0.014987;0.002104
Landsat 8;7;2076;0.016872;0.002331
Landsat 8;7;2077;0.018899;0.002576
Landsat 8;7;2078;0.021;0.002874
Landsat 8;7;2079;0.023121;0.003204
Landsat 8;7;2080;0.025897;0.003586
Landsat 8;7;2081;0.028847;0.003999
Landsat 8;7;2082;0.032071;0.004518
Landsat 8;7;2083;0.035363;0.005101
Landsat 8;7;2084;0.040206;0.005681
Landsat 8;7;2085;0.045432;0.006259
Landsat 8;7;2086;0.050903;0.006982
Landsat 8;7;2087;0.056429;0.007784
Landsat 8;7;2088;0.06327;0.008776
Landsat 8;7;2089;0.070409;0.00987
Landsat 8;7;2090;0.079382;0.011083
Landsat 8;7;2091;0.088907;0.012376
Landsat 8;7;2092;0.10064;0.013828
Landsat 8;7;2093;0.11283;0.015364
Landsat 8;7;2094;0.128292;0.017088
Landsat 8;7;2095;0.144668;0.018931
Landsat 8;7;2096;0.162055;0.020973
Landsat 8;7;2097;0.179714;0.023137
Landsat 8;7;2098;0.20278;0.025348
Landsat 8;7;2099;0.227234;0.027585
Landsat 8;7;2100;0.253732;0.029746
Landsat 8;7;2101;0.280925;0.031851
Landsat 8;7;2102;0.311347;0.033978
Landsat 8;7;2103;0.342526;0.036118
Landsat 8;7;2104;0.377044;0.037944
Landsat 8;7;2105;0.412621;0.039558
Landsat 8;7;2106;0.45047;0.040587
Landsat 8;7;2107;0.488816;0.041309
Landsat 8;7;2108;0.522458;0.042146
Landsat 8;7;2109;0.554715;0.043056
Landsat 8;7;2110;0.593227;0.043047
Landsat 8;7;2111;0.633521;0.042456
Landsat 8;7;2112;0.663067;0.042467
Landsat 8;7;2113;0.689664;0.04285
